범죄별,발생지역별,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년
범죄발생총건수(A),계,1933835,2020731,2008290,1824876,1738190,1767684,1714579,1531705,1575007
범죄발생총건수(A),서울,389353,386488,372730,352471,341288,340504,318320,274830,295503
범죄발생총건수(A),부산,147945,156472,144038,130148,126230,128725,127673,113558,118130
범죄발생총건수(A),대구,103469,107728,93713,82281,79489,82905,79182,72339,71386
범죄발생총건수(A),인천,103861,110230,109580,101526,94605,101289,96340,85432,91182
범죄발생총건수(A),광주,71182,67136,60352,54627,51223,52827,49869,44610,42963
범죄발생총건수(A),대전,50232,52193,51696,50357,48184,47929,46960,41921,45650
범죄발생총건수(A),울산,45490,34213,29620,26558,25323,25814,24911,23463,17776
범죄발생총건수(A),세종,3717,3897,4762,5023,5331,6300,6651,6147,6907
범죄발생총건수(A),경기,442902,472930,523078,459893,429953,433498,429487,388004,391119
범죄발생총건수(A),강원,58772,63243,64781,58900,52495,53289,51544,45398,46038
범죄발생총건수(A),충북,55437,58288,61758,56944,53659,53801,51645,47020,47324
범죄발생총건수(A),충남,77187,82007,78129,73772,75405,73817,71847,63290,67829
범죄발생총건수(A),전북,62694,65686,62406,57238,56353,58012,56210,52587,53737
범죄발생총건수(A),전남,71866,79687,74753,64618,65932,68566,67448,60205,61545
범죄발생총건수(A),경북,95509,99762,96211,89049,85371,88098,83790,75300,78953
범죄발생총건수(A),경남,121986,144936,143281,127294,117243,123992,123406,111102,111487
범죄발생총건수(A),제주,32233,35835,37402,34177,30106,28318,29296,26499,27478
인구(B),계,51327916,51529338,51696216,51778544,51826059,51849861,51829023,51638809,51439038
인구(B),서울,10103233,10022181,9930616,9857426,9765623,9729107,9668465,9509458,9428372
인구(B),부산,3519401,3513777,3498529,3470653,3441453,3413841,3391946,3350380,3317812
인구(B),대구,2493264,2487829,2484557,2475231,2461769,2438031,2418346,2385412,2363691
인구(B),인천,2902608,2925815,2943069,2948542,2954642,2957026,2942828,2948375,2967314
인구(B),광주,1475884,1472199,1469214,1463770,1459336,1456468,1450062,1441611,1431050
인구(B),대전,1531809,1518775,1514370,1502227,1489936,1474870,1463882,1452251,1446072
인구(B),울산,1166377,1173534,1172304,1165132,1155623,1148019,1136017,1121592,1110663
인구(B),세종,156125,210884,243048,280100,314126,340575,355831,371895,383591
인구(B),경기,12357830,12522606,12716780,12873895,13077153,13239666,13427014,13565450,13589432
인구(B),강원,1544442,1549507,1550806,1550142,1543052,1541502,1542840,1538492,1536498
인구(B),충북,1578933,1583952,1591625,1594432,1599252,1600007,1600837,1597427,1595058
인구(B),충남,2062273,2077649,2096727,2116770,2126282,2123709,2121029,2119257,2123037
인구(B),전북,1871560,1869711,1864791,1854607,1836832,1818917,1804104,1786855,1769607
인구(B),전남,1905780,1908996,1903914,1896424,1882970,1868745,1851549,1832803,1817697
인구(B),경북,2700794,2702826,2700398,2691706,2676831,2665836,2639422,2626609,2600492
인구(B),경남,3350257,3364702,3373871,3380404,3373988,3362553,3340216,3314183,3280493
인구(B),제주,607346,624395,641597,657083,667191,670989,674635,676759,678159
"A/Bⅹ100,000",계,3768,3922,3884.8,3524.4,3353.9,3409.2,3308.1,2966.2,3061.9
"A/Bⅹ100,000",서울,3854,3856,3753.3,3575.7,3494.8,3499.8,3292.4,2890.1,3134.2
"A/Bⅹ100,000",부산,4204,4453,4117.1,3750,3667.9,3770.7,3764,3389.4,3560.5
"A/Bⅹ100,000",대구,4150,4330,3771.8,3324.2,3228.9,3400.5,3274.2,3032.6,3020.1
"A/Bⅹ100,000",인천,3578,3767,3723.3,3443.3,3201.9,3425.4,3273.7,2897.6,3072.9
"A/Bⅹ100,000",광주,4823,4560,4107.8,3731.9,3510,3627.1,3439.1,3094.5,3002.2
"A/Bⅹ100,000",대전,3279,3437,3413.7,3352.2,3234,3249.7,3207.9,2886.6,3156.8
"A/Bⅹ100,000",울산,3900,2915,2526.6,2279.4,2191.3,2248.6,2192.8,2091.9,1600.5
"A/Bⅹ100,000",세종,2381,1848,1959.3,1793.3,1697.1,1849.8,1869.1,1652.9,1800.6
"A/Bⅹ100,000",경기,3584,3777,4113.3,3572.3,3287.8,3274.2,3198.7,2860.2,2878.1
"A/Bⅹ100,000",강원,3805,4081,4177.2,3799.7,3402,3457,3340.9,2950.8,2996.3
"A/Bⅹ100,000",충북,3511,3680,3880.2,3571.4,3355.3,3362.5,3226.1,2943.5,2966.9
"A/Bⅹ100,000",충남,3743,3947,3726.2,3485.1,3546.3,3475.9,3387.4,2986.4,3194.9
"A/Bⅹ100,000",전북,3350,3513,3346.5,3086.3,3067.9,3189.4,3115.7,2943,3036.7
"A/Bⅹ100,000",전남,3771,4174,3926.3,3407.4,3501.5,3669.1,3642.8,3284.9,3385.9
"A/Bⅹ100,000",경북,3536,3691,3562.8,3308.3,3189.3,3304.7,3174.6,2866.8,3036.1
"A/Bⅹ100,000",경남,3641,4308,4246.8,3765.6,3474.9,3687.4,3694.6,3352.3,3398.5
"A/Bⅹ100,000",제주,5307,5739,5829.5,5201.3,4512.4,4220.3,4342.5,3915.6,4051.9
