시군구별(1),2014,2015,2016,2017,2018,2019,2020,2021,2022
서울특별시,3854,3856,3753.3,3575.7,3494.8,3499.8,3292.4,2890.1,3134.2
부산광역시,4204,4453,4117.1,3750,3667.9,3770.7,3764,3389.4,3560.5
대구광역시,4150,4330,3771.8,3324.2,3228.9,3400.5,3274.2,3032.6,3020.1
인천광역시,3578,3767,3723.3,3443.3,3201.9,3425.4,3273.7,2897.6,3072.9
광주광역시,4823,4560,4107.8,3731.9,3510,3627.1,3439.1,3094.5,3002.2
대전광역시,3279,3437,3413.7,3352.2,3234,3249.7,3207.9,2886.6,3156.8
울산광역시,3900,2915,2526.6,2279.4,2191.3,2248.6,2192.8,2091.9,1600.5
세종특별자치시,2381,1848,1959.3,1793.3,1697.1,1849.8,1869.1,1652.9,1800.6
경기도,3584,3777,4113.3,3572.3,3287.8,3274.2,3198.7,2860.2,2878.1
강원특별자치도,3805,4081,4177.2,3799.7,3402,3457,3340.9,2950.8,2996.3
충청북도,3511,3680,3880.2,3571.4,3355.3,3362.5,3226.1,2943.5,2966.9
충청남도,3743,3947,3726.2,3485.1,3546.3,3475.9,3387.4,2986.4,3194.9
전라북도,3350,3513,3346.5,3086.3,3067.9,3189.4,3115.7,2943,3036.7
전라남도,3771,4174,3926.3,3407.4,3501.5,3669.1,3642.8,3284.9,3385.9
경상북도,3536,3691,3562.8,3308.3,3189.3,3304.7,3174.6,2866.8,3036.1
경상남도,3641,4308,4246.8,3765.6,3474.9,3687.4,3694.6,3352.3,3398.5
제주특별자치도,5307,5739,5829.5,5201.3,4512.4,4220.3,4342.5,3915.6,4051.9
