시군구별(1),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
서울특별시,29.7,30.3,29.1,26.8,26.4,25.8,27.8,26.3,24.0,25.4
부산광역시,25.9,26.0,25.2,24.3,22.9,21.9,23.1,23.2,20.8,22.0
대구광역시,25.2,24.4,24.9,23.9,21.9,23.4,21.6,22.1,20.3,21.8
인천광역시,32.3,30.5,29.5,27.6,30.4,28.1,30.7,27.5,24.2,25.4
광주광역시,27.5,27.0,27.7,27.5,25.6,26.7,25.8,25.8,24.3,23.8
대전광역시,28.1,28.4,30.6,24.3,26.5,23.8,22.3,22.2,23.4,26.9
울산광역시,24.5,22.9,23.8,23.3,23.8,22.3,23.8,23.3,20.5,23.7
세종특별자치시,28.1,31.9,25.3,28.9,30.9,28.4,24.0,24.9,20.1,25.5
경기도,29.9,30.5,29.5,29.1,27.6,26.5,27.5,26.5,23.2,26.3
강원특별자치도,25.5,26.8,24.8,26.6,25.0,22.8,24.9,24.4,22.0,24.3
충청북도,28.2,28.5,26.9,27.7,25.5,24.3,24.0,24.6,22.7,24.5
충청남도,28.8,28.2,27.6,29.0,26.0,27.6,25.2,24.9,22.9,25.0
전라북도,26.3,24.1,23.1,21.9,26.4,23.6,24.6,23.1,22.7,23.9
전라남도,25.3,24.4,24.1,23.4,23.3,22.1,18.8,21.0,19.6,22.9
경상북도,25.2,24.0,23.6,22.6,22.6,21.8,21.6,21.4,20.4,21.0
경상남도,24.6,24.3,24.2,20.9,23.4,21.6,23.5,22.2,20.7,22.5
제주특별자치도,28.8,25.8,29.0,23.4,25.4,21.9,24.6,23.8,23.0,22.5
