시도별,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
시도별,취업자 (천명),취업자 (천명),취업자 (천명),취업자 (천명),취업자 (천명),취업자 (천명),취업자 (천명),취업자 (천명),취업자 (천명),취업자 (천명)
계,"25,897","26,178","26,409","26,725","26,822","27,123","26,904","27,273","28,089","28,416"
서울특별시,"5,209","5,165","5,146","5,152","5,080","5,086","5,051","5,055","5,113","5,174"
부산광역시,"1,693","1,684","1,686","1,685","1,657","1,676","1,640","1,657","1,679","1,691"
대구광역시,"1,227","1,246","1,247","1,239","1,226","1,219","1,184","1,217","1,228","1,247"
인천광역시,"1,472","1,488","1,520","1,533","1,575","1,581","1,560","1,563","1,614","1,655"
광주광역시,732,733,730,744,749,750,748,745,750,769
대전광역시,762,770,774,764,759,772,780,785,794,797
울산광역시,556,573,576,584,574,571,560,555,566,572
세종특별자치시,-,-,-,129,148,168,180,185,197,208
경기도,"6,272","6,393","6,504","6,685","6,790","6,952","6,909","7,150","7,597","7,653"
강원도,721,741,749,790,789,811,795,809,818,841
충청북도,823,839,845,861,876,880,890,897,926,939
충청남도,"1,163","1,199","1,226","1,140","1,179","1,196","1,176","1,193","1,226","1,248"
전라북도,901,922,940,921,915,928,932,953,968,983
전라남도,945,962,964,957,961,974,974,985,"1,010","1,019"
경상북도,"1,441","1,433","1,443","1,447","1,427","1,430","1,418","1,410","1,462","1,462"
경상남도,"1,660","1,691","1,704","1,723","1,746","1,749","1,729","1,732","1,740","1,760"
제주도,322,339,355,374,372,382,378,383,402,401
